*Airport,Link_Id,Node1_Id,Node1_Longitude,Node1_Latitude,Node1_Altitude,Node1_Type,Node2_Id,Node2_Longitude,Node2_Latitude,Node2_Altitude,Node2_Type,Link_Type
RKSS,G129-RP10,G129,126.8045667,37.55320832999998,0,Gate,RP10,126.8054239,37.55388463999999,0,Ramp,Gate
RKSS,G130-RP11,G130,126.8039278,37.55372778,0,Gate,RP11,126.804761,37.55443671000003,0,Ramp,Gate
RKSS,G131-RP12,G131,126.8033361,37.55416388999999,0,Gate,RP12,126.8042014,37.55487393999999,0,Ramp,Gate
RKSS,G132-RP14,G132,126.8027917,37.55461388999998,0,Gate,RP14,126.8036873,37.55531582000002,0,Ramp,Gate
RKSS,G132-TX9,G132,126.8027917,37.55461388999998,0,Gate,TX9,126.8020842,37.55407864000001,0,Taxiway,Gate
RKSS,G133-RP19,G133,126.8016,37.55554443999999,0,Gate,RP19,126.8028056,37.55646420999999,0,Ramp,Gate
RKSS,G133-TX11,G133,126.8016,37.55554443999999,0,Gate,TX11,126.8009001,37.55503142999999,0,Taxiway,Gate
RKSS,G134-RP20,G134,126.8010194,37.55600833,0,Gate,RP20,126.802197,37.55693489999997,0,Ramp,Gate
RKSS,G134-TX12,G134,126.8010194,37.55600833,0,Gate,TX12,126.8003121,37.55548720000001,0,Taxiway,Gate
RKSS,G135-RP21,G135,126.8005556,37.55638056000003,0,Gate,RP21,126.8017092,37.55730591000001,0,Ramp,Gate
RKSS,G135-TX13,G135,126.8005556,37.55638056000003,0,Gate,TX13,126.7998793,37.55586500999998,0,Taxiway,Gate
RKSS,G136-RP22,G136,126.8000861,37.55676943999999,0,Gate,RP22,126.8012503,37.55767975999997,0,Ramp,Gate
RKSS,G136-TX14,G136,126.8000861,37.55676943999999,0,Gate,TX14,126.7994255,37.55624130000002,0,Taxiway,Gate
RKSS,G137-RP24,G137,126.7996917,37.55708889,0,Gate,RP24,126.8008325,37.55799552,0,Ramp,Gate
RKSS,G137-TX15,G137,126.7996917,37.55708889,0,Gate,TX15,126.7990147,37.55655565000001,0,Taxiway,Gate
RKSS,G138-RP26,G138,126.7992889,37.55740277999999,0,Gate,RP26,126.8004389,37.55831589,0,Ramp,Gate
RKSS,G138-TX16,G138,126.7992889,37.55740277999999,0,Gate,TX16,126.7986283,37.55687609000002,0,Taxiway,Gate
RKSS,G139-RP27,G139,126.7989972,37.55768332999998,0,Gate,RP27,126.8001507,37.55855567999998,0,Ramp,Gate
RKSS,G139-TX17,G139,126.7989972,37.55768332999998,0,Gate,TX17,126.7982818,37.5571266,0,Taxiway,Gate
RKSS,G140-RP29,G140,126.7985333,37.55800278,0,Gate,RP29,126.7996278,37.55896259999999,0,Ramp,Gate
RKSS,G140-TX18,G140,126.7985333,37.55800278,0,Gate,TX18,126.7978558,37.55747220000002,0,Taxiway,Gate
